Name,Age,Net_Pay
Marisol Hood,23,87187
Gracie Shelton,29,107113
Anderson Larson,32,220380
Xavier Petty,27,116600
Dominique Lozano,29,153110
Trevor Castaneda,24,115658
Tracy Diaz,27,100783
Jillian Hampton,26,79735
Howard Pittman,23,57179
Stacie Ellis,24,57216
Lenore Blake,26,145909
Rueben Zuniga,26,56966
Clement Ochoa,36,316062
Byron Brady,26,65440
Chung Morgan,29,106704
Bruno Stuart,35,148306
Dylan Faulkner,25,41881
Cindy Franklin,26,41819
Geoffrey Benton,30,67727
Demarcus Carney,38,167332
Edgardo Sanford,32,78111
Abram Huynh,25,256
Micheal Washington,31,3898
Quentin Holmes,31,306221
Clair Reeves,32,189697
Karyn Miles,32,113844
Cathy Stevens,40,31706
Susie Berger,37,295901
Iris Middleton,30,137220
Isreal Maddox,28,57107
Summer Henderson,32,117373
Joe Moses,34,187141
Teri Shaw,25,699
Mckinley Sullivan,33,154619
Lavern Santos,30,82188
Patrica Walton,35,169930
Milan Barnett,33,166500
Roman Gonzales,32,152745
June Nolan,33,140603
Ashlee Rose,28,72146
Paris Ewing,34,107065
Vicente Garrison,28,72321
Randell Rosales,30,82159
Ronnie Davis,40,210051
Catalina Tran,38,87881
Orlando Salas,35,171098
Rick Morse,35,170166
Keith Lopez,32,95153
Eduardo Brewer,33,84064
Barton Estrada,30,84620
Casey Poole,37,118950
Terrance Colon,33,143350
Anibal Pham,28,77119
Kermit Reilly,31,127909
Billy Galloway,33,140110
Timmy Poole,27,85642
Allan Carr,31,116172
Cristobal Howe,36,120787
Anton Wang,28,114656
Robbie Anthony,39,104439
Bret Rubio,37,138894
Jamie Good,33,157839
Elwood Cantu,33,117636
Fernando Baldwin,35,109514
Hershel Simon,38,213186
Jackie Castaneda,35,170828
Pat Crosby,37,63761
Van Cabrera,40,173744
Gus Stanley,29,106515
Sebastian Oneill,28,140365
Kermit Mata,38,204378
Emmitt Blankenship,39,197248
Lon Peters,41,152980
Bart Huerta,33,143346
Eric Mckee,30,77415
Rory Bautista,33,68501
Jeff Anthony,31,71820
Forrest Petersen,29,121400
Delores Joseph,28,98991
Cristopher Morrison,39,156366
Mara Hanna,28,65741
Jeffry Salazar,30,83173
Calvin Gonzales,31,94609
Brad Klein,40,148043
Grover Greene,39,93110
Cristobal Page,36,118632
Cliff Friedman,31,186976
Abigail Frederick,29,84380
Aurelio Gregory,33,144129
Roberta Lowery,35,183164
Manual Barron,29,62718
Anderson Rollins,33,101232
Eli Glenn,37,135581
Denver Hebert,28,91975
Jeromy Dean,35,175536
Benita Bolton,30,105851
Jewel Meza,32,103909
Erik Ramirez,31,83995
Lorenzo Callahan,28,70042
Von Ritter,35,136281
Taylor Buckley,31,145874
Josue Jimenez,41,135430
Rae Diaz,31,96327
Whitney Pham,38,215202
Sean Arnold,35,94825
Paris Allen,29,115606
Mac Kelley,31,141970
Leon Hayden,36,88144
Richard Atkinson,28,99124
Guillermo Barr,30,130326
Melody Green,32,95894
Jere Roy,31,131095
Hayden Mcknight,31,105859
Malik Bennett,30,98936
Carolyn Zuniga,33,132579
Edwina Romero,30,85318
Jonathan Spencer,35,157576
Jackson Chapman,34,75829
Erma Cervantes,37,137557
Katharine Noble,29,105822
Terra Smith,29,103744
Joesph Valencia,33,262845
Antoinette Mcguire,29,74621
Mari Holder,32,90929
Roberto Mosley,37,202982
Audrey Newton,32,155829
Alan Morris,35,229903
Shon Clay,36,163294
Antonia Mclean,29,118097
Kirby Sherman,29,121722
Joanne Lucas,30,116053
Nathaniel Bush,31,172691
Shawn Watts,34,180528
Nestor Brock,35,107517
Helena Ayers,29,133851
Christine Blake,31,104901
Maritza Blevins,33,122797
Dion Wiggins,31,80014
Major Mason,33,156372
Owen Little,37,104067
Elvis Gaines,31,134803
Douglas Donaldson,33,161742
Brandon Pearson,37,151138
Jarrod Meyers,29,106632
Fredrick Bruce,33,78428
Brenton Frank,32,178944
Winford Gutierrez,29,94043
Rafael Barrera,28,60004
Basil Neal,32,94166
Royce Shelton,29,91902
Kasey Hoffman,35,182272
Darren Callahan,33,188751
Ike Collins,37,170807
Mohammed Hubbard,35,143314
Kerry Donovan,33,95460
Otis Lawrence,34,161424
Kate Kerr,28,113536
Wanda Hernandez,34,139685
Sammie Lang,31,124860
Kristin Garza,29,91470
Corinne Meza,29,81012
Leslie Pineda,33,149463
Elva Hull,32,92783
Nannie Kane,29,122558
Marion Robertson,28,109441
Jude Benson,38,103403
Fritz Rivers,29,107083
Federico Wall,38,341834
Evan Chen,33,176917
Nathanial Mckenzie,32,108626
Danny Cowan,34,167577
Dorian Walters,40,129225
Leopoldo Mata,31,133027
Samuel Black,34,128317
Reinaldo Dyer,37,216242
Ulysses Lin,35,292979
Carl Crawford,39,293268
Jerome Whitney,35,197175
Deshawn Delgado,34,109867
Lupe Nelson,29,104066
Dannie Montoya,36,224995
Jean Ferrell,29,107577
Dean House,28,106287
Alissa Pacheco,30,100692
Eddie Obrien,32,130814
Shannon Salazar,39,118903
Roberta Kemp,34,135226
Denise Hoover,38,154496
Howard Livingston,29,126835
Lilian Soto,31,70407
Rosemarie Melendez,30,86424
Ollie Mccall,33,148871
Penny Mendez,37,99195
Mathew Blackwell,32,76066
Trevor Munoz,32,164677
Angelo Lynch,36,140982
Jane Farmer,36,111708
Rusty Weber,29,113754
Cesar Nixon,36,166968
Gabrielle Fuller,29,119674
Freddy Blankenship,33,116297
Everett Short,30,118958
Jerrell Coleman,31,55000
Nelson Roy,40,203335
Felecia Manning,36,159406
Lucio Melendez,39,210456
Leon Peck,36,274736
Myrtle Gamble,31,125669
Darrel Montes,40,136379
Erin Camacho,35,85750
Deandre Valdez,41,271852
Gordon Powers,42,193074
Dirk Friedman,33,134339
Janice Hickman,32,144277
Maura Barber,36,145313
Del Patterson,28,113937
Caleb Rivera,32,119114
Doug Glass,36,81953
Tyrone Charles,34,151417
Rex Sanders,39,111122
Morris Davenport,30,55160
Rupert Zimmerman,35,204208
Monroe Washington,30,152809
Charles Black,39,108105
Bob Duran,35,143696
Elijah Crosby,31,172062
Alexander Nolan,32,73199
Raymond Knight,35,268364
Socorro Horne,32,71189
Joseph Mckenzie,35,162553
Abigail Price,36,151389
Lonnie Marsh,38,225700
Pete Miller,32,149257
Brock Dorsey,38,116458
Evan Mooney,36,122343
Shaun Watkins,32,161478
Lessie Donovan,44,150163
Stanton Fleming,37,133922
Joshua Warner,36,94501
Jame Cobb,49,251383
Tanisha Flowers,29,143011
Waldo Zamora,31,128631
Jerold Mcmahon,38,178177
Delmar Meyers,42,164628
Willard Durham,42,133188
Harriet Vargas,38,146494
Elton Holmes,42,198291
Moises Cummings,39,123023
Carlene Osborne,35,161224
Jerry Fitzpatrick,28,128202
Ahmad Gross,35,140764
Sterling Huffman,31,102462
Cletus Burns,38,140147
Emmett Roberts,38,123187
Denis Griffin,37,206916
Rita Fitzgerald,38,99377
Pat Munoz,33,242602
Tracy Frederick,40,270306
Daren Copeland,35,190622
Milo Tapia,40,249024
Douglas Yu,38,195450
Claudio Esparza,35,211558
Theodore Donovan,38,150435
Dino Walton,33,158729
Thad Velasquez,38,210133
Jamey Leach,40,95281
Lottie Johnston,29,91333
Tyler Booker,31,113974
Geoffrey Burns,42,154380
Elisabeth Leon,33,205694
Leroy Cook,35,166795
Dalton Pitts,41,113381
Javier Andersen,42,159400
Sherrie Curry,29,94590
Issac Bright,38,242307
Francesco Warren,44,298353
Garth Gamble,29,119844
Eliseo Santana,33,138378
Jermaine Waller,43,240075
Garland Gonzales,47,102285
Judson Li,30,81396
Dewayne Moran,28,76684
Rosetta Lyons,37,210096
Shad Wells,34,159789
Jose Santiago,36,167269
Berry Trevino,30,144268
Dominic Knapp,33,103991
Scottie Calhoun,37,134218
Dave Fritz,36,58204
Stefan Wiggins,46,212804
Steve Cuevas,40,214163
Susanna Vincent,31,107056
Jeramy Rivera,36,132864
Rico Sims,39,254289
Jacinto Stein,39,111580
Katheryn Preston,30,98073
Phil Keith,35,137256
Sybil Townsend,29,94358
Houston Padilla,30,96090
Cheri Miranda,30,68996
Lynne Mccann,29,96723
Delmer Andrews,28,121407
Cherie Morrow,28,86868
Bonnie Odonnell,32,132665
Elise Hubbard,32,99507
Demetrius Flynn,29,94727
Sadie Wise,30,135595
Sammie Sullivan,36,196518
Tisha Mckenzie,33,141854
Elizabeth Horne,35,80753
Elmer Foster,35,189388
Patsy Ferguson,32,110273
Adalberto Hayden,36,119264
Denis Durham,37,90503
Ola Foley,28,140899
Valeria Schultz,32,127774
Lakisha Kennedy,29,131798
Emery Kim,33,142429
Clinton Swanson,42,118242
Guy Woods,31,126012
Tameka Alexander,31,117486
Antone Santos,37,190626
Otha Rhodes,30,130436
Maynard Benjamin,30,85922
Milford Pollard,32,118850
Warren Huang,33,150193
Dwayne Terrell,30,105074
Gerard Dominguez,33,145686
Pete Kaiser,34,97356
Alan Leblanc,39,145809
Carl Waters,43,146858
Lane Armstrong,30,96761
Rob Barajas,41,282086
Clint Mccann,28,79930
Gerry Huber,34,154035
Mariano Howell,32,92624
Chuck Kaufman,30,156658
Joseph Sharp,31,186444
Zackary Mora,34,173575
Abram Mckenzie,37,33439
Alphonso Andrews,30,98569
Lester Becker,36,208388
Kelley Sherman,31,101419
Wesley Blackburn,35,141744
Kenton Freeman,39,178628
Tristan Davila,38,156820
Thelma Underwood,41,198128
Edison Miranda,35,98666
Lou Escobar,35,155197
Edmundo Navarro,46,167351
Kermit Richard,32,167974
Jeanne Waters,27,74577
Alfredo Reese,36,66953
Mario Fernandez,34,158462
Sanford Gaines,34,138681
Andreas Caldwell,30,84228
Rene Melendez,29,122776
Orville Mccoy,36,234620
Darnell Johnston,32,160218
Luke Meyer,39,81582
Rodolfo Guzman,37,142905
Rudolf Short,29,115515
Trinidad Meza,30,148037
Jonathon Moreno,35,149520
Rick Cortez,32,86224
Reed Oliver,41,258376
Olin Glover,31,128599
Bernie Greene,30,130136
Miles Colon,35,115151
Wendell Forbes,32,141678
Casey Mclaughlin,33,116160
Hung Crosby,37,197133
Darcy Estes,30,111907
Jerrold Kennedy,35,181841
Celina Larsen,31,148286
Domingo Pruitt,33,162654
Sammie Serrano,37,233017
Elvin Shepard,31,125631
Corey Hill,32,130332
Bessie Summers,41,90046
Terrell Rush,32,113186
Hugh Frye,35,111731
Sidney Mcclure,32,138137
Alejandro Cantrell,36,660810
Jackson Arnold,30,120422
Jerry Frey,34,137660
Eva Fletcher,35,184812
Dino Curry,30,75367
Eldridge Howard,41,224576
Malik Drake,36,144135
Len Bennett,43,247945
Doyle Lewis,33,143259
Mel Jones,32,138866
Raul Sellers,37,138032
Jean Pham,44,296946
Sherman Barton,37,119699
Blake Choi,41,131235
Peter Grimes,32,198888
Otis Leonard,32,98971
Williams Kaiser,40,246229
Merle Fritz,33,154258
Morton Velasquez,33,104317
Quintin Malone,41,183450
Al Hawkins,47,163801
Dusty Brooks,39,84207
Tanisha Villegas,42,107206
Teri Eaton,32,153442
Alan Clark,38,198345
Rodney Frank,34,117902
Dexter Vaughan,42,187891
Wendell Benson,42,311371
Solomon Glass,32,201795
Dario Lang,29,148547
Sebastian Cobb,34,120870
Travis Sanders,33,96669
Erick Jackson,33,139469
Darla Munoz,30,77333
Wendy Moran,29,86820
Nona Spears,27,78117
Loren Shea,31,131714
Elwood Wheeler,28,116827
Rickey Marquez,39,91469
Arlen Fox,35,100100
Lynette Montoya,34,96214
Sammie Porter,37,185324
Zackary Mcpherson,46,225164
Rupert Wolf,32,124462
Phoebe Vang,41,168868
Sergio Wilcox,34,171504
Imelda Mathis,46,212951
Summer Nielsen,37,72857
Vern Cruz,31,80567
Benito Mckinney,30,147031
Hayden Ballard,34,139042
Hubert Banks,39,255312
Clyde Heath,31,143985
Damian Bolton,34,142875
Claire Hayes,31,12264
Denis Whitney,37,81664
Christopher Mccullough,38,65184
Wade Phelps,35,207185
Gino Orr,43,309398
Carmine Evans,32,174004
Mose Estes,36,176571
Nathaniel Ellis,33,165742
Elinor Salazar,35,252664
Ollie Owen,37,106363
Derrick Navarro,41,227394
Orlando Wallace,40,129296
Valentine Kramer,34,168702
Cameron Durham,36,112098
Kay Peterson,33,108051
Ricky Keith,35,185621
Chris Baird,41,155920
Lydia Byrd,35,126020
Casandra Tapia,49,141377
Louisa Mosley,36,191013
Lawanda Shelton,39,73246
Devin Hernandez,32,80514
Micheal Wall,44,139590
Eugenio Stark,28,104011
Dorthy White,31,150516
Hilario Sharp,35,150514
Elton Morse,37,130538
Danial Daugherty,31,73823
Deshawn Donaldson,36,153793
Mickey Farley,32,152163
Israel Wyatt,30,125345
Junior Simmons,36,110751
Parker Barajas,56,304828
Lou Mills,33,98060
Jim Berry,32,68477
Domenic Cox,32,79630
Xavier Bates,37,128433
Bernie Cisneros,36,88645
Dane Pena,31,94167
Conrad Riddle,34,73712
Rhett Marshall,39,269308
Elvia Ewing,29,79379
Leigh Waller,29,167832
Floyd Escobar,33,100183
Harrison Mckenzie,35,168315
Jordon Hunt,32,128290
Ivory Price,36,174077
Sean Moody,32,151860
Rod Andrews,30,143000
Adalberto Lloyd,35,87972
Bethany Arellano,29,56658
Annmarie Ruiz,35,72111
Richard Allen,35,151029
Emory Whitney,27,89615
Nicky Day,30,69858
Olin Farmer,32,136705
Daron Andersen,39,151168
Odell Blackburn,32,133623
Terry Richard,36,97853
Genaro Moon,37,111695
Karl Oconnor,31,122883
Steven Velasquez,41,178894
Gina Prince,37,104611
Cristopher Hardy,27,85577
Wilber Travis,35,154732
Darren Marsh,30,129384
Alyson Cook,37,112635
Jamaal Valenzuela,29,73662
Leah Haynes,36,82680
Billy Jefferson,37,133635
Lenard Owen,29,72401
Cedric Archer,44,276142
Carlo Robinson,34,90937
Saundra Hester,28,89627
Rogelio Wheeler,32,156389
Dewayne Copeland,37,168573
Russell Hughes,31,60977
Derek Osborne,32,49040
Jaclyn Woodard,29,101429
Willard Cochran,38,122124
Neva Pace,50,141297
Christopher Adams,29,155614
Armand Davis,41,100901
Mathew Hinton,30,67417
Alvaro Franklin,33,148604
Jame Brock,30,110286
Zack Brewer,33,140965
Willie Bell,30,140060
Lynwood Sexton,31,137552
Fredric Mcneil,32,122631
Adrian Villanueva,30,90293
Cecile Ferrell,30,85888
Carlene Gordon,30,77640
Bart Tapia,34,102814
Lazaro Griffin,37,97471
Columbus Irwin,29,165448
Jed Hamilton,33,126196
Thaddeus Walter,36,299538
Donnie Hartman,33,101622
Milan Wilson,35,149514
Gayle Baker,33,150492
Mary Bartlett,36,165588
Antione Osborne,29,89568
Tyrell Cross,41,414768
Harvey Daugherty,34,184772
Adrian Schaefer,30,121192
Andre Moses,36,119764
Del Briggs,44,122038
Gerard Roth,35,127203
Noe Le,37,218884
Alfredo Hodges,43,457836
Darrin Boyle,38,218794
Jackie Oliver,35,120917
Kraig Boone,29,109811
Art Wells,40,179732
Philip Bird,33,125912
Yvonne Rose,36,89227
Arline Navarro,44,302652
Kristine Werner,42,221730
Olga Miranda,29,146848
Barton Lin,34,114206
Britt Stevenson,32,245021
Norberto Berg,34,170263
Royal Shah,36,92883
Lorna Bryant,29,115740
Dong Forbes,36,101357
Alejandro Schneider,34,102286
Myles Mccarty,30,122476
Neil Finley,34,115154
Doug Singleton,30,93325
Otis Good,42,152851
Desmond Huff,29,124554
Blair Bernard,31,183186
Buster Avila,38,179721
Felicia Shannon,28,98881
Lilly Lindsey,34,90637
Ellis Mendez,31,105283
Angela Mckenzie,33,118454
Jeannine Bowers,37,143441
Stacy Meadows,29,78387
Arnoldo Lawrence,34,183559
Zackary Matthews,35,155664
Alton Travis,30,80972
Edwardo Humphrey,38,227630
Abdul Becker,34,83293
Antonia Carey,34,96887
Sid Warner,30,95988
Ned Roth,29,124526
Graig Church,32,116339
Sheena Bowman,30,50148
Cristopher Anthony,29,109307
Sid Baxter,37,325137
Pablo Myers,35,72776
Elisha Wilcox,33,99848
Joshua Duran,30,106512
Kim Serrano,38,109019
Joyce Aguilar,29,85343
Brigitte Gordon,31,95968
Willis Hicks,32,103755
Edwardo Cochran,31,84522
Olivia Mccoy,29,78374
Toni Blake,34,125252
Henrietta Archer,35,76587
Elmo Cooper,29,147711
Kip Christian,34,141607
Noah Wells,29,115006
Stacey Harrington,36,214291
Antwan Zimmerman,29,111450
Normand Donovan,33,89836
Vicki Braun,35,92948
Theron Dunlap,40,273468
Gabriel Knapp,30,107146
Kieth Fleming,40,251491
Alfred Hickman,47,514604
Freddie Nielsen,32,158897
Lori Pena,35,228439
Rey Rollins,37,190363
Concetta Brady,31,63817
Harley Mullins,33,75920
Mavis Jackson,32,121792
Olive Monroe,28,97201
Emmitt Daniels,41,102803
Arron Figueroa,31,115232
Janine Mccarty,41,158293
Savannah Ferrell,31,112747
Liz Byrd,29,123244
Andre Malone,42,233985
Annie Norris,36,78020
Luis Mccarty,40,154136
Scott Perez,31,105034
Jere Nolan,34,149117
Todd Wallace,33,143005
Maureen Holland,33,123831
Guy Oconnell,31,73512
Tomas Griffith,34,154461
Raleigh Marks,34,83165
Leslie Santana,41,217549
Hilton Copeland,35,137082
Adolfo Riley,29,87738
Rupert Small,34,93901
Carroll Mercado,36,124097
Vincenzo Mejia,40,239662
Pedro Bryant,43,197619
Frederic Pugh,32,107207
Hallie Wood,28,119992
Maynard Maddox,42,85465
Kristopher Stafford,34,68327
Rae Glenn,39,198198
Eugenio Acosta,41,220533
Will Berry,40,57108
Elvira Armstrong,46,98677
Kendrick Fuller,37,155083
Meredith Gaines,38,143616
Marion Pratt,33,173105
Roman Drake,31,133080
Frieda Tran,32,94934
Dionne Griffith,39,215775
Marion Hartman,36,209788
Audrey Oneal,31,57318
Lourdes Wolfe,34,94275
Denver Vance,32,103325
Fritz Sawyer,29,60474
Kasey Holt,32,154936
Matt Cain,31,120915
Phyllis Haas,29,157189
Wilbur Bond,31,84540
Markus Powell,36,157395
Zackary Copeland,37,181992
Herman Benson,29,136991
Bo Shepherd,31,147445
Cletus Hines,32,160944
Milton Cline,30,137378
Casey Sherman,33,246925
Ralph Thomas,30,94933
Cyrus Collier,37,199135
April Ali,39,125768
Rod Wiggins,37,142788
Jc Chang,40,190321
Dustin Chen,39,230710
Edison Page,50,197691
Sang Wolfe,29,104787
Delmer Gillespie,35,132665
Carlton Prince,38,141973
Frankie Mays,41,106267
Gilberto Zuniga,38,122118
Rolando Luna,40,251574
Erik Buck,34,215870
Augusta Sutton,33,114303
Walker Randolph,40,227169
Abraham Haas,30,124850
Rufus Koch,39,95663
Simon Roach,31,126694
Stephan Benjamin,44,206905
Mohammad Estes,40,153918
Omer Coleman,32,126972
Carson Maddox,34,145298
Kara Sparks,35,118021
Lee Pugh,43,144491
Doris Bond,31,80032
Lucien Khan,34,195107
Allison Houston,35,177445
Edmundo Vega,34,147152
Phoebe Humphrey,37,254269
Agustin Proctor,39,181240
Kraig Mueller,30,75448
Daren Garrison,38,170719
Leonard Burch,29,142182
Clarence Caldwell,42,184711
Troy Joyce,29,128242
Elden Lee,35,127616
Paris Lozano,42,456189
Sheldon Pacheco,31,145619
Giuseppe Davies,33,160838
Felipe Shepard,39,132914
Leslie Dominguez,38,159536
Franklin Goodman,39,77051
Leandro Herman,32,167029
Filiberto Barrera,32,97072
Normand Weeks,31,86228
Armando Velasquez,37,130200
Royal Hahn,39,144458
Clifford Villegas,37,119351
Robt Walsh,29,114336
Wade Kramer,35,150926
Jefferson Schaefer,31,122783
Tom Sampson,32,141271
Garland Boyle,31,125118
Margarito Barajas,35,158211
Roosevelt Noble,32,133797
Nathanial Andersen,33,75419
Terra Washington,31,89438
Caleb Holloway,31,99820
Hank Osborne,34,165053
Joey Ortiz,28,125232
Jamey Ortega,37,87427
Lucius Terry,28,70412
Jewell Lynch,29,132237
Georgia Herrera,33,71278
Maritza Valenzuela,31,123097
Harry Schneider,34,75441
Zane Braun,29,86634
Tobias Gregory,29,131707
Jerrold Weeks,32,90972
Brittney Mann,31,222823
Sanford Huang,29,146727
Virgilio Wu,33,186896
Kristy Bowen,29,104691
Gilberto Chaney,32,139316
Madeline Dixon,28,80876
Frankie Davidson,36,251266
Nickolas Gardner,38,173773
Carroll Moran,32,128241
Elijah Duncan,30,134375
Chase Harvey,34,184454
Mitzi English,30,101018
Garry Rosales,34,149836
Cornelia Fleming,36,169595
Hope Webb,42,319649
Andreas Padilla,35,172350
Dianne Olson,29,132264
Kim Stafford,30,78808
Sonny Owen,34,101134
Emmett Stuart,32,137085
Edwina Solis,29,75363
Dionne Mclaughlin,32,113079
Diann Fox,33,242874
Lesley Carroll,41,156031
Jamison Norris,33,127579
Thaddeus Barrett,37,163292
Patricia Harding,43,272565
Eloise Mccoy,37,91188
Georgia Mccarty,28,79328
Haywood Cohen,35,109732
Odis Lee,34,177961
Nita Franklin,28,160417
Micah Wise,32,151579
Russel Boyd,34,160671
Jesse Hooper,35,170588
Letitia Dougherty,36,205971
Jimmie Robertson,30,82760
Marquita Becker,34,153489
Myron Hammond,31,147261
Major Espinoza,31,110769
Tristan Farmer,30,140531
Rosario Pitts,31,117736
Selma Mcgee,29,92026
Malcolm Hickman,33,159019
Jordon Porter,42,153815
Garth Lewis,33,121969
Valarie Best,32,121919
Mario Wood,42,122109
Therese Washington,40,136165
Gerard Fischer,42,165726
Merle Peterson,39,205084
Katelyn Hubbard,28,126725
Winford Carney,29,94460
Jere Lane,31,95817
Graciela Randolph,30,95604
Alec Ingram,34,73512
Colin Calhoun,38,239556
Cleveland Brennan,34,204586
Wes Copeland,43,227415
Chet Padilla,34,168818
Trinidad Stanley,30,146573
Rex Humphrey,34,180541
Kurtis Faulkner,40,214440
Quentin Stevenson,42,271033
Rosetta Fuller,31,88748
Kurt Cortez,36,134417
Paris Pollard,30,186722
Dallas Webb,28,109312
Cassie Aguirre,40,155050
Eric Cantu,38,20054
Chas Petersen,33,98824
Stephen Espinoza,39,136859
Man Mullen,34,136572
Charley Simmons,46,146131
Maggie Malone,45,226020
Celeste Moran,37,160338
Cliff Holland,31,139824
Alfreda Gill,29,103512
Hipolito Tyler,40,121763
Ruthie Roach,34,88312
Young Knapp,50,97115
Merle Nolan,32,168019
Josiah Guerra,34,188536
Ashley Morales,35,70461
Isaiah Wyatt,37,223347
Ferdinand Hernandez,30,101488
Johnie Mcdowell,53,366424
Leann Bartlett,39,169118
Minerva Mcclain,32,139842
Latisha Camacho,29,90899
Eusebio Reyes,37,130912
Cyril Hoffman,32,150216
Laura Singleton,35,202313
Lee Park,33,108877
Simone Parks,28,100237
Bert Fleming,48,374354
Geneva Buckley,36,124879
Matilda Raymond,28,117098
Ulysses Barajas,41,112282
Dorian Villegas,40,169720
Desmond Hendrix,29,86175
Forrest Walton,30,95935
Adrienne Vasquez,39,154610
Erick Oconnor,38,339209
Antoine Cordova,35,121640
Jacob Fields,35,111797
Modesto Murray,34,94093
Donte Wade,38,234883
Hans Brooks,37,166345
Jim Rich,42,115087
Erich Anthony,36,156717
Tracy Curry,35,153403
Darren Randolph,33,190373
Estelle Clark,30,80778
Leticia Howe,31,97552
Petra Silva,34,137190
Wilson Juarez,29,50604
Nicky Pennington,40,237209
Beth Lyons,29,65039
Dane Ruiz,42,172302
Reba Evans,28,141446
Houston Montes,47,261185
Beatriz Kirby,34,71525
Carter Waller,42,237408
Evangeline Hayes,36,52213
Ollie Herrera,32,118089
Carissa Cummings,33,98775
Jordon Cardenas,30,94665
Paulette Irwin,29,182178
Miquel Marshall,36,87133
Gilda Frazier,38,104423
Emmett Ho,29,101298
Martha Edwards,29,108135
Foster Durham,36,203592
Tiffany Booker,51,115723
Forrest Francis,38,199928
George Weeks,36,138055
Nathanael Ross,33,130522
Ty Conway,37,89850
Jacinto Arellano,31,154329
Marshall Odonnell,36,144251
Annmarie Garcia,41,144455
Genevieve Cooper,34,141528
Dale Doyle,30,108952
Horace Wilkinson,28,71759
Hosea Acosta,36,148007
Tristan Briggs,33,133002
Dana Robbins,32,98181
Burt Vincent,40,203764
Pierre Andersen,45,183254
Lesley Ellison,34,199729
Erasmo Bird,38,111165
Coleman Davies,38,88135
Aldo Daniel,29,91954
Jamar Cummings,45,307305
Elias Dorsey,31,91971
Felipe Novak,39,170723
Burton Glover,33,146332
Blake Hall,29,150910
Keith Deleon,30,86978
Virgil Herrera,32,151954
Cleveland Cisneros,32,113132
Ed Whitaker,38,202519
Waldo Booker,39,141653
Millard Werner,33,86776
Roberto Sparks,39,163371
Micah Dunlap,36,279445
Kelvin Gamble,31,124993
Armando Nash,30,104992
Eric Harrell,32,135199
Jude Jones,35,132824
Elroy Wu,42,265185
Terry Chung,32,62511
Abel Moreno,31,149489
Stewart Ballard,27,150993
Jere Middleton,30,128164
Dion Velez,33,124339
Arnoldo Mack,35,191786
Geraldo Proctor,36,145436
Emile Palmer,31,174269
Damien Roberts,28,155771
Edward Bradley,30,77518
Lolita Compton,29,113127
Annie Maynard,36,166083
Kristin Cooley,42,129805
Adalberto Zavala,32,230594
Isreal Barton,32,146150
Pat Malone,39,158444
Asa Evans,37,103348
Basil Edwards,41,93766
Frances Oneal,33,153247
Toby Newman,40,136058
Adolph Fitzpatrick,32,106288
Quinn Marquez,41,102344
Damian Brooks,38,218305
Kristofer Lambert,29,75857
Jaime Munoz,32,102834
Maurice Bradley,37,155171
Truman Moore,38,222368
Dale Sullivan,29,104653
Rafael Weiss,36,136841
Lemuel Noble,34,92552
Jessie Chambers,40,118203
Vincenzo Santos,35,125293
Caroline Allison,30,101126
Marion Mora,30,109041
Nora Malone,27,85109
Brian Nguyen,30,72214
Alfredo Alexander,29,129004
Norris Garrett,33,102329
Eldridge Mclaughlin,31,96240
Lynnette Morgan,27,148671
